ts,avail_mb,used_mb,ovms_ws_mb,python_ws_mb_total,cpu_pct
12:45:46,5158,26917,11076,53,17
12:45:51,4830,27245,11081,54,17
12:45:57,4851,27225,11081,54,21
12:46:02,4909,27166,11081,54,17
12:46:07,4907,27168,11081,54,22
12:46:13,4895,27180,11094,54,16
12:46:18,4887,27189,11103,54,19
12:46:23,4895,27180,11107,54,25
12:46:29,4895,27180,11107,54,14
12:46:34,4889,27186,11107,54,42
12:46:39,4888,27188,11116,54,16
12:46:45,4877,27198,11121,54,21
12:46:50,4863,27212,11121,54,29
12:46:56,4854,27221,11128,54,19
12:47:01,4869,27206,11128,54,16
12:47:06,4883,27192,11112,54,21
12:47:12,4883,27193,11114,54,18
12:47:17,4884,27191,11114,54,22
12:47:22,4861,27214,11144,54,26
12:47:27,4864,27211,11144,54,13
12:47:33,4855,27220,11144,54,15
12:47:38,4860,27216,11140,54,13
12:47:44,4864,27212,11140,54,23
12:47:49,4864,27211,11140,54,20
12:47:54,4861,27214,11140,54,18
12:48:00,4877,27198,11140,54,23
12:48:05,4884,27192,11140,54,34
12:48:10,4881,27195,11140,54,18
12:48:16,4881,27195,11140,54,18
12:48:21,4880,27196,11140,54,30
12:48:26,4883,27192,11140,54,25
12:48:31,4886,27189,11140,54,21
12:48:37,4886,27189,11140,54,17
12:48:42,4886,27189,11140,54,20
12:48:47,4887,27188,11140,54,13
12:48:53,4882,27193,11140,54,18
12:48:58,4884,27191,11140,54,18
12:49:03,4888,27187,11140,54,16
12:49:09,4890,27185,11140,54,16
12:49:14,4897,27178,11140,54,16
12:49:19,4897,27179,11140,54,17
12:49:25,4888,27188,11140,54,14
12:49:30,4890,27185,11140,54,19
12:49:35,4899,27176,11140,54,18
12:49:41,4895,27180,11140,54,13
12:49:46,4881,27195,11140,54,15
12:49:51,4860,27216,11140,54,23
12:49:57,4868,27208,11140,54,12
12:50:02,4701,27374,11140,54,26
12:50:08,4862,27213,11140,54,16
12:50:13,4863,27212,11140,54,12
12:50:18,4864,27211,11140,54,13
12:50:24,4869,27206,11140,54,15
12:50:29,4873,27202,11140,54,18
12:50:34,4885,27190,11140,54,12
12:50:40,4888,27187,11140,54,14
12:50:45,4890,27186,11140,54,18
12:50:50,4890,27186,11140,54,21
12:50:56,4859,27216,11140,54,20
12:51:01,4845,27230,11140,54,19
12:51:06,4760,27315,11140,54,14
12:51:11,4840,27235,11150,54,18
12:51:17,4842,27233,11150,54,22
12:51:22,4841,27234,11150,55,34
12:51:27,4846,27230,11150,55,18
12:51:33,4847,27228,11150,55,21
12:51:38,4845,27230,11150,55,17
12:51:43,4849,27226,11150,55,19
12:51:49,4850,27225,11150,55,22
12:51:54,4870,27205,11132,55,22
12:51:59,4882,27193,11132,55,16
12:52:05,4882,27194,11132,55,16
12:52:10,4887,27188,11128,55,18
12:52:15,4888,27187,11128,55,14
12:52:21,4889,27186,11128,55,26
